SiteID,Latitude,Longitude,Elevation,d18O,nyrs
Taiwan_WL,24.350000000000001,121.31,1800.0,-9.7564355342854405,2.0
Taiwan_YL,23.329999999999998,121.31,130.0,-7.7084668315042242,2.0
WA24,46.760599999999997,-117.18470000000001,766.0,-12.852717653407407,7.0
WA98,45.569400000000002,-122.20999999999999,233.0,-9.387219121115006,5.0
WA99,46.758200000000002,-122.12430000000001,424.0,-10.162381709991326,7.0
YabulaiWeatherStation,39.299999999999997,102.7,1250.0,-3.5710943055236761,2.0
isomap_0100400,78.916666669999998,11.93333333,7.0,-11.535109968824822,23.0
isomap_0100500,78.069999999999993,13.630000000000001,6.0,-9.4383778784016101,6.0
isomap_0142700,58.100000000000001,6.5700000000000003,13.0,-7.0288310735386217,9.0
isomap_0206000,68.683333329999996,21.530000000000001,403.0,-16.23293998727026,6.0
isomap_0207001,59.958333330000002,13.525,192.0,-11.821010105757546,2.0
isomap_0208001,68.349999999999994,18.81666667,392.0,-14.30162951856893,1.0
isomap_0208002,67.133333329999999,20.483333330000001,359.0,-12.760960710185801,1.0
isomap_0209501,56.680555560000002,16.23611111,20.0,-10.973190186603407,2.0
isomap_0210201,67.870000000000005,20.23,505.0,-12.114747931876087,2.0
isomap_0212801,66.049999999999997,17.633333329999999,432.0,-13.086483030323667,1.0
isomap_0212802,64.119444439999995,20.90694444,10.0,-12.415042869730858,2.0
isomap_0215300,57.700000000000003,11.970000000000001,15.0,-8.4447330613932419,2.0
isomap_0219601,66.277777779999994,21.125,252.0,-13.929327223968301,2.0
isomap_0224001,63.841666670000002,15.33333333,400.0,-13.407507821298953,2.0
isomap_0241801,59.733333330000001,15.5,110.0,-11.427949846965912,2.0
isomap_0246401,59.316666669999996,18.033333330000001,60.0,-11.140241278964218,2.0
isomap_0246402,60.399999999999999,17.0,50.0,-11.414195522337209,2.0
isomap_0251201,58.149999999999999,12.15,126.0,-10.452763971067029,2.0
isomap_0255001,55.783333329999998,13.53333333,125.0,-10.346064717488186,2.0
isomap_0284500,66.496861109999998,25.755180559999999,107.0,-13.269448573144278,4.0
isomap_0291701,62.891794439999998,27.625422220000001,116.0,-12.71859951800829,1.0
isomap_0297401,60.18008889,24.83286111,30.0,-11.58748709749152,9.0
isomap_0304401,58.149999999999999,-4.9749999999999996,73.0,-6.6142561442197128,1.0
isomap_0348700,52.883333329999999,-1.0833333329999999,60.0,-7.9207387226240424,8.0
isomap_0353000,52.166666669999998,0.25,30.0,-7.4819536251934249,4.0
isomap_0365302,51.600000000000001,-1.1000000000000001,48.0,-7.122336080973878,30.0
isomap_0391302,54.353333329999998,-6.6483333330000001,64.0,-8.5410199780531428,2.0
isomap_0395300,51.93,-10.25,9.0,-5.5299791980410848,42.0
isomap_0403000,64.129999999999995,-21.93,14.0,-8.2637641886040143,32.0
isomap_0420200,76.519999999999996,-68.829999999999998,77.0,-22.933140138247861,3.0
isomap_0426100,61.219999999999999,-48.119999999999997,27.0,-11.609200389523631,5.0
isomap_0431000,81.599999999999994,-16.670000000000002,35.0,-24.73299289081141,8.0
isomap_0432000,76.766666670000006,-18.666666670000001,12.0,-17.908349011137599,23.0
isomap_0434001,70.5,-22.0,35.0,-13.687089898026729,1.0
isomap_0618601,55.670000000000002,12.300000000000001,28.0,-9.6120674998080133,2.0
isomap_0623500,52.93,4.7800000000000002,1.0,-7.2248722886257069,7.0
isomap_0623501,52.799999999999997,5.0499999999999998,-4.0,-6.6165771433652951,3.0
isomap_0626000,52.100000000000001,5.1799999999999997,2.0,-7.5091050571613804,10.0
isomap_0628001,53.229999999999997,6.5499999999999998,1.0,-7.5199923288795043,46.0
